text,importance,label
brisk hack job,-0.3353582244808074,0
extremely bad,-0.3004022637026944,0
terrible,-0.2325816505615702,0
just dreadful,-0.223734983228012,0
cinematic poo,-0.2181678905592486,0
this franchise has not spawned a single good film,-0.2130103082632014,0
but the second half of the movie really goes downhill,-0.2114005898467052,0
this is just lazy writing,-0.204461038822255,0
horrible,-0.1926343876796565,0
what an embarrassment,-0.1884332065673808,0
bad movie,-0.1872375172209817,0
there is no energy,-0.1849023172715151,0
the movie slides downhill as soon as macho action conventions assert themselves,-0.1773341854154563,0
enough said  except  film overboard,-0.1740986733798277,0
guy gets girl  guy loses girl  audience falls asleep,-0.1721298968621655,0
should have gone straight to video,-0.1661753793835714,0
it is dark  brooding and slow  and takes its central idea way too seriously,-0.1622697662471911,0
amazingly lame,-0.1554054914105098,0
is a mess,-0.1431363422609763,0
spy action flick with antonio banderas and lucy liu never comes together,-0.1419913274019459,0
a fullfrontal attack on audience patience,-0.1361476818382665,0
it is tough to be startled when you re almost dozing,-0.1351503086397354,0
the thing just never gets off the ground,-0.1285631078161671,0
it is all surface psychodramatics,-0.1267002514349487,0
final verdict  you ve seen it all before,-0.1237700285984736,0
director jay russell weighs down his capricious fairytale with heavy sentiment and lightweight meaning,-0.1227683029162517,0
obvious  obnoxious and didactic burlesque,-0.1216239572723221,0
rarely has sex on screen been so aggressively antierotic,-0.1214530220542713,0
this ludicrous film is predictable at every turn,-0.120920319808507,0
in fact  it does nt even seem like she tried,-0.1154538376473033,0
this 90minute dud could pass for mike tyson is e,-0.1128604273310811,0
the lead actors share no chemistry or engaging charisma,-0.1120844726677718,0
killing time  that is all that is going on here,-0.1083288994589853,0
most of the storylines feel like time fillers between surf shots,-0.1080228579226228,0
another wholly unnecessary addition to the growing  moldering pile of  well  extreme stunt pictures,-0.1078288325734216,0
feel free to go get popcorn whenever he is not onscreen,-0.1060973527251758,0
we do nt get paid enough to sit through crap like this,-0.1052987569255589,0
the yaya is have many secrets and one is  the books are better,-0.1037909363763941,0
as a remake  it is a pale imitation,-0.1037853248796861,0
a chiller resolutely without chills,-0.1012097356586668,0
abandon  will leave you wanting to abandon the theater,-0.0991889966519426,0
does nt deserve a passing grade lrb even on a curve rrb,-0.0976804907648778,0
the three leads produce adequate performances  but what is missing from this material is any depth of feeling,-0.0969237125932613,0
an awful snooze,-0.0959829072108489,0
the first fatal attraction was vile enough,-0.0959650048819133,0
if this is cinema  i pledge allegiance to cagney and lacey,-0.0952998897776782,0
with a completely predictable plot  you ll swear that you ve seen it all before  even if you ve never come within a mile of the longest yard,-0.0940347838068463,0
it is also not smart or barbed enough for older viewers  not everyone thinks poopoo jokes are  edgy,-0.0932884701264366,0
a movie in which two not very absorbing characters are engaged in a romance you ca nt wait to see end,-0.0930168370718801,0
this is the kind of movie that gets a quick release before real contenders arrive in september,-0.0920895241398802,0
there is nt one moment in the film that surprises or delights,-0.0914979771995239,0
an uglyduckling tale so hideously and clumsily told it feels accidental,-0.0900065322717093,0
what more can be expected from a college comedy that is target audience has nt graduated from junior high school,-0.0894759793967173,0
run for your lives,-0.0878693060617107,0
the script is judgment and sense of weight is way  way off,-0.0873293858797869,0
the sum of all fears pretends to be a serious exploration of nuclear terrorism  but it is really nothing more than warmedover cold war paranoia,-0.0872832301241924,0
a terrible movie that some people will nevertheless find moving,-0.0861227754734045,0
tartakovsky is team has some freakish powers of visual charm  but the five writers slip into the modern rut of narrative banality,-0.0851391688053646,0
most of the dialogue made me want to pack raw dough in my ears,-0.0841362032236137,0
the most offensive thing about the movie is that hollywood expects people to pay to see it,-0.0834796024926026,0
strong filmmaking requires a clear sense of purpose  and in that ohsoimportant category  the four feathers comes up short,-0.0825449436719021,0
it is not a bad premise  just a bad movie,-0.0821151517307348,0
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichs and borrowed images that it might more accurately be titled mr chips off the old block,-0.0805546006487737,0
before long  you re desperate for the evening to end,-0.0800771854967173,0
i do nt blame eddie murphy but should nt owen wilson know a movie must have a story and a script,-0.0795413639080242,0
there is too much forced drama in this wildly uneven movie  about a young man is battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present,-0.0792202382126214,0
i d rather watch a rerun of the powerpuff girls,-0.0789004540727431,0
the most surprising thing about this film is that they are actually releasing it into theaters,-0.0779918783044232,0
collateral damage is trash  but it earns extra points by acting as if it were nt,-0.077791836233999,0
it makes me say the obvious  abandon all hope of a good movie ye who enter here,-0.0773856527719894,0
the catch is that they re stuck with a script that prevents them from firing on all cylinders,-0.0765087975873497,0
but one thing is for sure  it never comes close to being either funny or scary,-0.076497504632771,0
no amount of burning  blasting  stabbing  and shooting can hide a weak script,-0.0762541327486937,0
the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher,-0.0760323879825685,0
the problem is that it is one that allows him to churn out one mediocre movie after another,-0.0760140359693028,0
for the future  one hopes mr plympton will find room for one more member of his little band  a professional screenwriter,-0.0756247939089824,0
every now and again  a movie comes along to remind us of how very bad a motion picture can truly be,-0.0746278903688627,0
looks more like a travelagency video targeted at people who like to ride bikes topless and roll in the mud than a worthwhile glimpse of independentcommunity guiding lights,-0.074220777094124,0
starts as an intense political and psychological thriller but is sabotaged by ticking time bombs and other hollywoodaction cliches,-0.0739662652338863,0
feels strangely hollow at its emotional core,-0.0735197534920812,0
the only way to tolerate this insipid  brutally clueless film might be with a large dose of painkillers,-0.0733713438951671,0
please  someone  stop eric schaeffer before he makes another film,-0.0731964050448309,0
the movie is progression into rambling incoherence gives new meaning to the phrase  fatal script error,-0.0716465924375782,0
after collateral damage  you might imagine that most every aggrieved father clich has been unturned,-0.0715708837999953,0
the chteau is never quite able to overcome the cultural moat surrounding its ludicrous and contrived plot,-0.070691561003183,0
a generic bloodbath that often becomes laughably unbearable when it is nt merely offensive,-0.0702974090904909,0
you can fire a torpedo through some of clancy is holes  and the scripters do nt deserve any oscars,-0.0702800655019034,0
like a soft drink that is been sitting open too long  it is too much syrup and not enough fizz,-0.0697487027505729,0
would ve been nice if the screenwriters had trusted audiences to understand a complex story  and left off the film is predictable denouement,-0.0696995449549664,0
once one experiences mr haneke is own sadistic tendencies toward his audience  one is left with a sour taste in one is mouth  and little else,-0.0695878183327483,0
done in mostly by a weak script that ca nt support the epic treatment,-0.0691349167299828,0
rarely has a film is title served such dire warning,-0.0681911619440547,0
there is not a single jumpinyourseat moment and believe it or not  jason actually takes a backseat in his own film to special effects,-0.0674224932980327,0
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child is interest and an adult is patience,-0.0672413145554662,0
you have no affinity for most of the characters,-0.0667983946957991,0
it aimlessly and unsuccessfully attempts to fuse at least three dull plots into one good one,-0.0653087661983717,0
why anyone who is not a character in this movie should care is beyond me,-0.0638619783378076,0
in comparison to his earlier films it seems a disappointingly thin slice of lowerclass london life  despite the title  amounts to surprisingly little,-0.0635197162908312,0
odd and weird,-0.1933532399961246,1
a film that suffers because of its many excesses,-0.1372353800775783,1
incoherence reigns,-0.1187030990336441,1
a technical triumph and an extraordinary bore,-0.1049703465865781,1
thoroughly engrossing and ultimately tragic,-0.1039451535334009,1
as saccharine as it is disposable,-0.065695563886924,1
a lightweight  uneven action comedy that freely mingles french  japanese and hollywood cultures,-0.06240978162749,1
the drama discloses almost nothing,-0.0599887588285551,1
a partyhearty teen flick that scalds like acid,-0.0564353358556956,1
do we really need the tiger beat version,-0.055923054941767,1
no  even that is too committed,-0.0529356722563586,1
impostor is a step down for director gary fleder,-0.0517584958523084,1
filled with lowbrow humor  gratuitous violence and a disturbing disregard for life,-0.0511943547655771,1
sure  i hated myself in the morning,-0.0504379723080153,1
an exit sign  that is,-0.0497562229799812,1
the characters never change,-0.0485828661413875,1
