label,text
0,this thing is just garbage
0,includes too much obvious padding
1,classic cinema served up with heart and humor
0,should ! have gone ; straight to video
0,": the story has little , wit and ; no surprises"
0,: the piano . teacher is not . an easy film
1,", there ? is greatness here"
0,"the story has ; little . wit and , no surprises"
0,blackandwhite and unrealistic
1,; its gentle  touching story creeps into your heart
0,a ; bland  ? pretentious mess
1,", like brosnan is performance  ? evelyn comes : from the , heart"
1,it ; is fun !  but it ; is a ? real howler
0,a doa dud : from frame one
1,the film offers an intriguing whatif premise
0,utter mush ?  conceited pap
1,it deserves to be seen everywhere
0,! woefully pretentious
1,", poignant and delicately complex"
0,a subformulaic slap in the ! face to seasonal cheer
0,the featurelength stretch  strains : the show is concept
1,intelligent ? and moving
0,opera on film is never satisfactory
0,. muddled ?  simplistic and more than ! a little pretentious
1,sexy . and romantic
1,this is a superior horror flick
1,one ! funny popcorn ! flick
0,seriously  rent the disney version
1,the ; performances are an absolute joy
1,works on some . levels and is certainly worth seeing at least once
1,. a small ; movie with a ! big impact
1,poignant and delicately complex
1,; visually captivating
1,"it is philosophy ,  illustrated through ? everyday events"
1,nothing short of a masterpiece  and a challenging one
1,the film offers an intriguing whatif ? premise
1,? the history is fascinating ?  the action is ? dazzling
1,she allows each character to confront their problems openly and honestly
1,a . weird and wonderful comedy
0,; unwieldy contraption
0,"the movie ! is as , padded as allen ! is jelly belly"
0,this is nt a ; new idea
1,warm : and exotic
1,i : will be
0,"unfortunately ,  we d prefer a . simple misfire"
0,he ? fails
1,polished ?  wellstructured ; film
0,; irritating soulsearching garbage
1,a slick  engrossing melodrama
0,"a , timid  soggy near miss"
0,a grating  emaciated ! flick
0,rashomonfordipsticks : tale
1,a faster paced family ! flick
0,; makes 98 ; minutes feel like three hours
1,it is sweet
0,? overburdened with complicated ! plotting and banal dialogue
1,yes  it is as good as you remember
1,deliciously : slow
1,one of the best movies of the year
0,a pretentious mess
1,: a slick .  engrossing melodrama
0,". the plot , is contrivances are . uncomfortably strained"
1,for the most part ?  . the film does hold up pretty ; well
0,"make chan is , action , sequences boring"
0,too . much . power  not enough ? puff
0,loud  silly  stupid and pointless
0,. the story is farflung  illogical  and plain stupid
0,no
1,a tour de force ! of modern cinema
0,not so ? much farcical as sour
0,loud  chaotic and largely unfunny
0,feels shrill  simple . and soapy
0,"kitschy ,  flashy  overlong soap opera"
0,. the film is ? flat
0,"; one big blustery : movie where nothing really , happens"
0,. it is ? not original enough
0,"! cold  : sterile and lacking any color , or warmth"
1,it strikes hardest  when it reminds you how pertinent its dynamics remain
1,far more enjoyable : than its predecessor
1,"ferrara is best , film , in years"
0,wellmeant but unoriginal
1,demonstrates ; the unusual power of thoughtful  ? subjective filmmaking
0,a fifty car pileup of . cliches
