label,text
1,while most films these days are about nothing  this film seems to be about everything that is plaguing the human spirit in ? a relentlessly globalizing world
1,it is at once laughable and compulsively watchable  in its committed dumbness
1,a film neither bitter nor sweet  neither romantic nor comedic  neither warm nor fuzzy
1,a wellexecuted . spythriller
1,white oleander may leave you rolling your ? eyes in the dark  but that does nt mean you wo nt like looking at it
1,the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him  there is never really a true  us  versus  them
1,10  minutes into the film you ll be whiteknuckled and unable to look away
1,i have a new favorite musical  and i m not ! even a fan of the genre
0,ahnuld is action hero days might be over
0,remember back when thrillers actually thrilled
1,the first bond movie in ages that is nt fake fun
1,i simply ca nt recommend it enough
0,the misery of these people becomes just another voyeuristic spectacle  to be consumed and forgotten
0,more successful at relating history than in creating an emotionally complex  dramatically satisfying heroine
1,"this . humbling little . film  fueled by the light , comedic work of zhao benshan and ! the ? delicate ways of dong jie  is ! just the sort for those moviegoers ! who ; complain that  ; they do nt make movies like they used to anymore"
0,aan ! opportunity wasted
1,what does nt this ? film have that an impressionable kid could nt stand to hear
0,"to ; be oblivious to the existence of this film : would be very sweet , indeed"
0,even kids deserve better
1,"director ? carl : franklin  so crisp and economical , in one false move  bogs , down in , genre cliches here"
0,the film  like ; jimmy is routines :  could use : a few good laughs
1,"the filmmakers know how to please the eye  ! but it is not always . the ; prettiest pictures that tell the best , story"
1,try as you might to resist  if you ve got a place in your heart for smokey robinson  this movie will worm its way there
0,but rather   how can you charge money for this
0,guys say mean things and shoot a lot of . bullets
0,if religious films are nt your bailiwick  stay away
1,by turns fanciful  grisly and engagingly quixotic
1,there is so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles
1,who needs mindbending drugs when they can see this  the final part of the  qatsi  trilogy  directed by godfrey reggio  with music by philip glass
1,a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth
1,less . the sensational truecrime helljaunt purists might like and more ; experimental in its storytelling lrb though no less ; horrifying for it rrb
1,i like that smith  he is not making fun of these people  he is not laughing at them
1,"if , cinema had been around to capture the chaos of france , in the 1790  is !  one ; imagines the ? result would ! look like something : like this"
0,"while ! each moment of this broken character ; study is rich in emotional texture  the journey does nt , really . go , anywhere"
1,"maybe he was reading the ; minds , of the audience"
0,"it is , bad ?  but certainly not without merit as entertainment"
0,the cumulative effect of the movie is repulsive and depressing
0,he thinks the film is just as much a document about him as it is about the subject
0,it is that painful
0,the audacity to view one of shakespeare is better known tragedies as a dark comedy is  by itself  deserving of discussion
0,what is missing is what we call the  wow  factor
0,a light  engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation
1,? shiner can certainly go the distance  but is nt world championship material
0,! a lightweight  ! uneven action comedy that freely mingles french  japanese and hollywood cultures
0,this strenuously unfunny showtime deserves the hook
0,", sadly   garth :  has nt progressed . as nicely as ,  wayne"
0,lyne is latest  the erotic thriller unfaithful  further demonstrates : just how far his storytelling skills have eroded
0,but  in trying to capture the novel is deeper intimate resonances  the film has  ironically  distanced us from the characters
1,an enjoyably frothy  date movie
0,watching it was painful
