label,text
0,infowolf did i really need to put a hashtag oh dear
1,so happy i havent gone to bed yet
0,i bae waitlove this is love and you can tell me how forever this is gonna last beth rip twd much cant http t co hgoilgofos
0,at http t co pmuxneovrn sketch today spudshed fresh fruit for eating for drawing as drawing perth
0,if only i possessed half the balance legolas has
0,shahbazszm but talking rubbish about system on twitter cant change anything action speaks louder than words
0,mhabs ill it to the hoops one is a hit http t d oy uctmf
0,craigavonc left out blue bin as per calendar but not lifted checked your website and it indicates green bin happy
1,im so good at sight singing
0,i know that what i see is what you see what it witness is that i know feel and see is that the time information technology http t co iwmp sjj
1,beautiful mean solar day day
1,well today has just started off great
0,exo coming soon better pray this is better with members sighs but either way obssessed fans would still be obssesed
0,georgenickss happy birthday young one have a gooden lad x
0,chancellem have you heard dorsum yet
1,thank you harding science department for only giving us minutes for our final
1,keep running from your problems that always works
0,ill go to hawaii bye bye my friends ill back grinning with smiling eyes grinning face with smiling eyes hawaii trip with myfamiry because girlfriend http t co er e nxde
0,some new vinyl on the turntable tonight heres to you joe theclash joestrummer sandinista http t co n zjjzyqo
0,mughalowowais batoolmisbah lol then
1,my meth are blinding me
0,exo coming before long better pray this is better with members sighs but either means obssessed fans would still be obssesed
0,seanmendes on stage at flzjingleball at the amaliearena in tampa s http t co zcptj iheartradio qn
0,marked as to read becassine pendant la grande guerre by caumery hypertext transfer protocol t co gcuvyuxox
1,commemorate black friday was a bust
0,kelseydpeterson get merked can i sign you in as my guest
1,big shocker that of called in
0,indonesia four large parts of crashed airasia jet found on sea floor http t co x ajy qiz via reuters
0,israel raps palestinian u n draft as gimmick http t co wczrgou via reuters
0,photo say it loud say it proud nope never a quitter and will never be always winning even http t co cw qedu nj
1,why does sue afford bonnie anxiety and stress pills
1,so happy i havent snuff it to bed yet
1,tawnyacsmith sounds like soooo a good deal much fun
0,i hope i could recuperate from fever today i need to start with strama
0,ebola but greed aka badmind kills easily and quickquick http t co qs ij pbms
0,this gone be some fire fire jan th getlifted http t co x zj unhzl
1,i love spending five hours a night doing homework please assign more teachers
0,there are two things that need to better drafting and the players work ethic moral principle thats it
0,at http t co pmuxneovrn sketch today spudshed fresh fruit only for eating for drawing as well drawing perth
0,aliceoflalaland i was using
1,i absolutely love moving house
1,i love not being able to sleep right now
1,its been a great week for dictators congrats north korea and cuba
1,i love the hypocrisy of the holidays
0,chrisratcliff nope doing everything wrong cold hot hot cold gear seems ok but as nowadays lordotic to prob spoke too soon orings
1,gawd i erotic love am lectures and pm lectures
0,im okay with snow but sleet howaboutno face screaming in only fear
0,im okay with snow but sleet howaboutno face screaming in fear
1,great start to the day
0,vh supersonic cause of all the things in life this seems to be in balance music medicine vh supersonic doctor superdaylineup
0,its too to be awake confounded face
1,working and be exhausted the time
1,what an eventful associate in nursing weekend
1,i have such a loving family
0,this is a song awful http t co wbnerxgqf
1,i love the lip service of the holidays
0,salgovernale you know it was i fredo you broke my heart
1,its been for great week a dictators congrats north korea and cuba
0,xvictorialeighx annagmorey what the hell always
0,im in the back chilling for now on you i dont keep contact it with if or hit you up dont just mad im get on some other shit pedestrian
1,sitting around listening to sad music really helps the depression
1,cheers another to good day
1,who ever thought view moving in the middle of december would be so peaceful
1,i love waking up five minutes before i have to be at school
0,need make to get back in to college feeling this
1,yay its fucking monday life is so perfect and magical i pure love everything
0,one day is day lemme console blunt
1,view i love watching liverpool truly inspiring
1,today is awesome
0,heelteacher is nxt gone sky from
1,thanks for shutting the city down
1,thx for captivate on urock
0,infowolf did i to need really put a hashtag oh dear
0,qz asks permission to takeoff towercontrol of surubaya yeah y can go away
1,the champions league is overrated anyway
0,ministers criticised over train plenty http t co iiqajzqixz
1,roman mythology gets me soooo pumped
0,seanmendes on stage at flzjingleball at the amaliearena in tampa iheartradio http t co zcptj s qn
0,take a deep breath its just a bad day a bad life http t co
0,pica em arlo ugh painful for sure cant win em all i spose but you shouldnt ever look like that
1,start a great what to my morning smh
1,i just love the nhs
0,youre any moment every second every smell and every flower as a girl
1,oh how i love listening to fox news in the background while opening presents
0,not this room please i dont want this
1,thanks bus thanks for telling me where i am so helpful
0,now gonna enjoy this day with my babies victory hand
1,leyawn popehat i advance you to educated yourself
0,sr duncan i think you should go get checked out
1,saturday social class wee
1,yea yea logical
0,sashadaisical jojeharvey definitely the latter o
1,i love being unappreciated
0,yes theyre all are our brothers sisters when you speak that way you are our father in heaven child either
0,check this sp so ugly christmas sweater ebayipad http t co out bmzz t
1,celebrating christmas
0,peteregan happy christmas to you yours may bring good health happiness every success and all you wish yourselves
0,to our countries special dedication to ma syrian friends youre alone instalisten by particular heart voice http t co johthvbkow
1,thanks for depend appreciating me looking out of you and caring
0,no pai n no gai n fit fitness gym no give up fisted hand sign flexed biceps http t co sudphibdez
0,phillhughes out we will miss u always respect for u http t co bjqakjyxl
1,thx for catching on urock
1,a phone bill is a lovely electronic mail to wake up to
0,i need to do something this winter break
0,if this is love i dont wanna be loved you pollute the room with your filthy tongue getscared
1,what great a person you are
0,bonka popsmcdaddy come on billy graham thomas
1,i feel so blessed to get ocular migraines
1,such a great damn day
1,just i love freezing rain
1,i can always count on freshmen to make the library loud thanks
