text,importance,label
"@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!",-0.0750799492713721,0
"you dont, fish and mammals have nothing in common @1kenwilson24 @brownbearmike1 @HotNostrilsrFun @Rapmonster",-0.0280223863082937,0
"@normwilner Unless rogue theatres start showing it, or it gets sold online?",-0.0578131958098215,0
"Besides some overpriced holiday candles, I haven't seen one #CyberMonday deal worthwhile today. Brutal.",-0.072546454903204,0
"@CharleyDaveler I infer that you are besmirching coffee, but that can't be right",-0.0424857505221063,0
"really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48",-0.0267207606828638,0
"LOL actually all 3 are, but i use 1 just for email @TimOwensby @RBRNetwork1 @Dolphin__Man @TheOldBreed1775 @real_smart_guy3",0.0339681746981417,0
@bgracely @Horn_Chris gotta be a joke about tootin a Horn somewhere,-0.0259584490919397,0
Quizfreak http://t.co/Xh84TdHpoc #proud #Brummie over here xxx,0.022037740826847,0
"Just bartered for a bottle of rum in best one, and got it down from £18 to £14. Happy Fucking New Year to me!!",-0.1089280472334587,0
Cannot wait to be home but gonna miss alot of people :thumbs_down_sign: ah roll on the new year :thumbs_up_sign: #sligowillbehithardagain,-0.0298491934081539,0
Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue,-0.006316601710264,0
"@KmbSmile @MyLittleBloggie when did you get so cynical, Karna!?!?",-0.0796832448492447,0
"#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W",-0.0083274030475877,0
"@amyengineer @daverdfw you drive a ferrari, right? you being a beautiful clever woman?",-0.025638094655453,0
Body Language for Confidence - the easiest thing you can do to make a difference: http://t.co/Jv92osRVuO via> @DrGaryWood,0.0306334072491154,0
@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?,-0.0146631855905676,0
People are loving this Funk. Let's keep the Tweet going on. http://t.co/4miR8pQG5J,-0.0335219078963356,0
The mouse's first incepted memory was just the sound: BRAAAAAAWWWWWWWWWP!,-0.0871465104709689,0
"@jonmorosi It took 4-5 hours but in the end, Morosi was right and Nightengale's sources were wrong.",-0.0566924894665135,0
Hummingbirds #Are  #Experts #at #Hovering #After #All: #Background #Motion ...: If the hovering ability of the... http://t.co/E189iHBpZr,0.0381410942389629,0
I work in front of laptop for 8 hours a day and suffer terrible dry eye. #bloodshot  #eyerony,-0.0281567593248417,0
#notcies #eu Juncker receives birthday surprise: One million signatures opposing TTIP and CETA http://t.co/f3knbTnus8,-0.0018838143001335,0
"It is so much easier for me to write how I'm feeling than to actually speak it, I get nervous and stumble on my words if it's on my heart.",0.0012766184824469,0
That was one long walk :ok_hand_sign::ok_hand_sign::ok_hand_sign: #GoMe http://t.co/liRaGZvLyF,-0.003132862990929,0
"btw, dummy, 140 limits @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @kusun0",0.0246499059252528,0
My prayers have been answered WE OUT,-0.0306177772581577,0
@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS  ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,-0.0063075652341537,0
Miss skateboarding and it's not even winter yet :pensive_face::confounded_face: #skateeverydamnday  @ Hoof Life:victory_hand:️ http://t.co/DakSuvOS43,-0.0052459980738435,0
@livwarfield |Part 2~ ARTICLE|:clapping_hands_sign::purple_heart::white_right_pointing_backhand_index::cross_mark::heavy_large_circle::white_left_pointing_backhand_index::person_with_folded_hands::person_raising_both_hands_in_celebration:  ~UEXPECTED http://t.co/wXi48kQowD,0.0187895564378385,0
Are you excited for the new #Blackberry #Classic #smartphone? Check out this article by @engadget: http://t.co/k4FId6DpR4,-0.0154110020230291,0
I may need to reread the books but did we ever find out what Draco's Boggart was? @jk_rowling #HarryPotter #dracomalfoy,0.0026626038653332,0
Bridal#jewels#exciting range#hand made#high quality jewellery on the high street#bespoke#custom http://t.co/fzhWTNzaf4,-0.0159540447872132,0
@studioloraine always a worthy choice @UMN_Give @UMNChildrens @sciencemuseummn @TheSoapFactory,-0.0229461008557336,0
@nytimes @NYTNow #Dirt  its not your country!,0.0503373228985925,0
it was  RT @bobthegreatooo @mikewickett how is that a spoiler alert?  Haven't so called 'experts' predicted him as being the winner?,-0.0613511336330128,0
Favorite @Singleology101 if you love Romance Novels. http://t.co/zNVC7fpIFf #Love #Drama #Romance,-0.0258905127891065,0
@snake_moore You're slipping back into hate figure territory,0.0255928677817185,0
@fbourdeau @ChrisLaBossiere @alexabboud All the more reason for it. Competition breeds innovation & the consumer wins.,-0.0134301341529334,0
Watch the wog head I will have after Christmas then #last #hair #cut #for #christmas,0.0523854182861016,0
"@CopperBronzed So when Tory stood up and thanked Ford for his service to the city, I wanted to barf.",-0.0898702072704003,0
Abraham was actually from modern day Iraq (Ur of the Chaldea) @TimOwensby @ILOVEBLACKMEN01,-0.0281067237354301,0
Women do some crazy ass shit just to be with a guy and the least they can do for her is break her heart!| all but some.,-0.0584550261992262,0
Still feeling sorry for myself about being to ill to go out last night!!! :loudly_crying_face::crying_face: here's my memories from... http://t.co/I3fIk1k6ek,0.0499294475095147,0
