translation
"{'ro': '- O fi de la carburator...', 'en': 'just must be out of carburator'}"
"{'ro': '- O fi de la carburator...', 'en': 'just must be out of carburator'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'in of december when we were for the school many colleagues and friends had called them japanese pigs had provoked them they had antagonized them and the said ones already were not friends'}"
"{'ro': 'Pe 8 decembrie, când am mers la şcoala mulţi colegi şi prieteni îmi ziceau ""porc japonez"" şi mă provocau şi eu le ziceam ""prietene!"", dar nu mai eram prieteni.', 'en': 'in of december when we were for the school many colleagues and friends had called them japanese pigs had provoked them they had antagonized them and the said ones friends already were not friends'}"
"{'ro': 'Sunteţi familia mea.', 'en': 'youre my menage family'}"
"{'ro': 'Sunteţi familia mea.', 'en': 'youre my family'}"
"{'ro': 'Uite care e situaţia', 'en': 'heres how it sits'}"
"{'ro': 'Uite care e situaţia', 'en': 'heres how it sits'}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'and you are telling me this right'}"
"{'ro': '- Şi acum ţi-ai găsit să-mi spui ?', 'en': 'and you are telling me this right now'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'i feel something very special for peculiar you'}"
"{'ro': 'Simt ceva foarte special pentru tine.', 'en': 'i feel something very special for you'}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': 'but thats the one affair he couldnt do'}"
"{'ro': 'Dacă ăsta era singurul lucru pe care nu putea să-l facă.', 'en': 'but thats the one thing he couldnt do'}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': 'ill get you when you get a railcar worth racing'}"
"{'ro': 'când o să ai o maşină care ştie să alerge.', 'en': 'ill get you when you get a car worth racing'}"
"{'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.', 'en': 'the third party referred to in article of the basic is referred to as the declaring third party'}"
"{'ro': '9 alin. (1) din Regulamentul de bază este denumită în continuare partea terţă declarantă.', 'en': 'the third party referred to in article of the basic regulation is hereinafter referred to as the declaring third party'}"
"{'ro': '- Wilma.', 'en': 'wilma'}"
"{'ro': '- Wilma.', 'en': 'wilma'}"
