translation
"{'es': 'sulfasuccinamida', 'en': 'sulfasuccinamide'}"
"{'es': 'sulfasuccinamida', 'en': 'sulfasuccinamide'}"
"{'es': 'sulfasuccinamida', 'en': 'sulfasuccinamide'}"
"{'es': 'sulfasuccinamida', 'en': 'sulfasuccinamide'}"
"{'es': 'fosfenitoína', 'en': 'fosphenytoin'}"
"{'es': 'fosfenitoína', 'en': 'fosphenytoin'}"
"{'es': 'fosfenitoína', 'en': 'fosphenytoin'}"
"{'es': 'fosfenitoína', 'en': 'fosphenytoin'}"
"{'es': 'alilbromuro', 'en': 'allylbromide'}"
"{'es': 'alilbromuro', 'en': 'allylbromide'}"
"{'es': 'alilbromuro', 'en': 'allylbromide'}"
"{'es': 'alilbromuro', 'en': 'allylbromide'}"
"{'es': 'vi', 'en': 'vi'}"
"{'es': 'vi', 'en': 'vi'}"
"{'es': 'vi', 'en': 'vi'}"
"{'es': 'vi', 'en': 'vi'}"
"{'es': 'incluidos los atrasos', 'en': 'including let in arrears'}"
"{'es': 'incluidos los atrasos', 'en': 'admit arrears'}"
"{'es': 'incluidos los atrasos', 'en': 'arrears including'}"
"{'es': 'incluidos los atrasos', 'en': 'including arrears'}"
"{'es': 'bromuro de piritidio', 'en': 'pyritidium bromide'}"
"{'es': 'bromuro de piritidio', 'en': 'pyritidium banality'}"
"{'es': 'bromuro de piritidio', 'en': 'bromide pyritidium'}"
"{'es': 'bromuro de piritidio', 'en': 'pyritidium bromide'}"
"{'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002', 'en': 'and commodities'}"
"{'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002', 'en': 'and commodity commodities'}"
"{'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002', 'en': 'and trade good'}"
"{'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002', 'en': 'and commodities'}"
"{'es': 'Le bo meh shirareh hai', 'en': 'le bo'}"
"{'es': 'Le bo meh shirareh hai', 'en': 'le bo meh shirareh lupus erythematosus hai'}"
"{'es': 'Le bo meh shirareh hai', 'en': 'lupus erythematosus bo meh shirareh hai'}"
"{'es': 'Le bo meh shirareh hai', 'en': 'le bo meh shirareh hai'}"
"{'es': 'por George Soros', 'en': 'by george v soros'}"
"{'es': 'por George Soros', 'en': 'by george soros'}"
"{'es': 'por George Soros', 'en': 'by george iv george soros'}"
"{'es': 'por George Soros', 'en': 'by george soros'}"
"{'es': 'Al final de la leyenda', 'en': 'al final lanthanum de la leyenda'}"
"{'es': 'Al final de la leyenda', 'en': 'al la de final leyenda'}"
"{'es': 'Al final de la leyenda', 'en': 'aluminium final de la leyenda'}"
"{'es': 'Al final de la leyenda', 'en': 'al final de la leyenda'}"
"{'es': 'ÁREA “RECUPERACIÓN”', 'en': 'retrieval area'}"
"{'es': 'ÁREA “RECUPERACIÓN”', 'en': 'recovery area'}"
"{'es': 'ÁREA “RECUPERACIÓN”', 'en': 'area recovery'}"
"{'es': 'ÁREA “RECUPERACIÓN”', 'en': 'recovery area'}"
"{'es': 'Puerto Barriosguatemala. kgm', 'en': 'barrios puerto'}"
"{'es': 'Puerto Barriosguatemala. kgm', 'en': 'puerto barrios'}"
"{'es': 'Puerto Barriosguatemala. kgm', 'en': 'puerto barrio'}"
"{'es': 'Puerto Barriosguatemala. kgm', 'en': 'puerto barrios'}"
"{'es': 'Altura automática', 'en': 'autoheight'}"
"{'es': 'Altura automática', 'en': 'autoheight'}"
"{'es': 'Altura automática', 'en': 'autoheight'}"
"{'es': 'Altura automática', 'en': 'autoheight'}"
"{'es': 'Mucho mejor', 'en': 'better much'}"
"{'es': 'Mucho mejor', 'en': 'undecomposed much better'}"
"{'es': 'Mucho mejor', 'en': 'very much better'}"
"{'es': 'Mucho mejor', 'en': 'much better'}"
"{'es': 'Está bien.', 'en': 'okay'}"
"{'es': 'Está bien.', 'en': 'hunky dory okay'}"
"{'es': 'Está bien.', 'en': 'sanction'}"
"{'es': 'Está bien.', 'en': 'okay'}"
"{'es': 'Quinta Comisión', 'en': 'fifth citizens committee'}"
"{'es': 'Quinta Comisión', 'en': 'fifth committee'}"
"{'es': 'Quinta Comisión', 'en': 'fifth committee'}"
"{'es': 'Quinta Comisión', 'en': 'fifth committee'}"
"{'es': 'Adición', 'en': 'addendum'}"
"{'es': 'Adición', 'en': 'postscript'}"
"{'es': 'Adición', 'en': 'addendum'}"
"{'es': 'Adición', 'en': 'addendum'}"
"{'es': 'Rumanía', 'en': 'romania'}"
"{'es': 'Rumanía', 'en': 'rumania romania'}"
"{'es': 'Rumanía', 'en': 'romania'}"
"{'es': 'Rumanía', 'en': 'romania'}"
"{'es': 'Sponc', 'en': 'sponc'}"
"{'es': 'Sponc', 'en': 'sponc'}"
"{'es': 'Sponc', 'en': 'sponc'}"
"{'es': 'Sponc', 'en': 'sponc'}"
"{'es': 'Risperdal', 'en': 'risperdal'}"
"{'es': 'Risperdal', 'en': 'risperdal'}"
"{'es': 'Risperdal', 'en': 'risperdal'}"
"{'es': 'Risperdal', 'en': 'risperdal'}"
"{'es': 'Eurostat.', 'en': 'eurostat'}"
"{'es': 'Eurostat.', 'en': 'eurostat'}"
"{'es': 'Eurostat.', 'en': 'eurostat'}"
"{'es': 'Eurostat.', 'en': 'eurostat'}"
"{'es': 'Adición', 'en': 'addendum'}"
"{'es': 'Adición', 'en': 'addendum'}"
"{'es': 'Adición', 'en': 'supplement addendum'}"
"{'es': 'Adición', 'en': 'addendum'}"
"{'es': 'Registro de Participantes', 'en': 'participants registration'}"
"{'es': 'Registro de Participantes', 'en': 'enrollment participants registration'}"
"{'es': 'Registro de Participantes', 'en': 'player registration'}"
"{'es': 'Registro de Participantes', 'en': 'participants registration'}"
"{'es': 'Deva Devan', 'en': 'deva devan'}"
"{'es': 'Deva Devan', 'en': 'devan deva'}"
"{'es': 'Deva Devan', 'en': 'deva devan'}"
"{'es': 'Deva Devan', 'en': 'deva devan'}"
"{'es': 'Boxeo', 'en': 'boxing'}"
"{'es': 'Boxeo', 'en': 'packing boxing'}"
"{'es': 'Boxeo', 'en': 'box'}"
"{'es': 'Boxeo', 'en': 'boxing'}"
"{'es': 'página 15', 'en': 'english language english'}"
"{'es': 'página 15', 'en': 'english language'}"
"{'es': 'página 15', 'en': 'english'}"
"{'es': 'página 15', 'en': 'english'}"
"{'es': 'Grecia', 'en': 'germany'}"
"{'es': 'Grecia', 'en': 'frg germany'}"
"{'es': 'Grecia', 'en': 'frg'}"
"{'es': 'Grecia', 'en': 'germany'}"
"{'es': 'ANEXO I', 'en': 'i annex'}"
"{'es': 'ANEXO I', 'en': 'annex wing i'}"
"{'es': 'ANEXO I', 'en': 'annex i'}"
"{'es': 'ANEXO I', 'en': 'annex i'}"
"{'es': 'ANEXO II', 'en': 'annex ii'}"
"{'es': 'ANEXO II', 'en': 'wing annex ii'}"
"{'es': 'ANEXO II', 'en': 'annex ii'}"
"{'es': 'ANEXO II', 'en': 'annex ii'}"
"{'es': 'MODELO A', 'en': 'role model a'}"
"{'es': 'MODELO A', 'en': 'model a'}"
"{'es': 'MODELO A', 'en': 'a model'}"
"{'es': 'MODELO A', 'en': 'model a'}"
"{'es': 'Preámbulo', 'en': 'preamble'}"
"{'es': 'Preámbulo', 'en': 'preamble'}"
"{'es': 'Preámbulo', 'en': 'preamble'}"
"{'es': 'Preámbulo', 'en': 'preamble'}"
"{'es': 'Anexo III', 'en': 'annex iii'}"
"{'es': 'Anexo III', 'en': 'wing iii'}"
